address,asset_code,cp_sht
7 BRUNTON PLACE,PIT-000000000905226938|2EPP-61,25
7 BRUNTON PLACE,PIT-000000000905226950|2EPP-61,14
7 BRUNTON PLACE,PIT-000000000905226955|2EPP-61,14
"32 Busaco Rd, Marsfield NSW 2122, Australia",PIT-000000000905234428|2EPP-61,1
25 CORUNNA ROAD,PIT-000000000905238113|2EPP-61,89
26 CRANDON ROAD,PIT-000000000905232212|2EPP-61,107
20 CRANDON ROAD,PIT-000000000905232210|2EPP-61,107
18 CRANDON ROAD,PIT-000000000905232208|2EPP-61,107
146 CULLODEN RD,PIT-000000000905226193|2EPP-61,34
146 CULLODEN RD,PIT-000000000905226196|2EPP-61,34
"28 Corunna Rd, Eastwood NSW 2122, Australia",PIT-000000015004017407|2EPP-61,94
39 EPPING ROAD,PIT-000000000905231757|2EPP-61,105
45 EPPING ROAD,PIT-000000000905231765|2EPP-61,105
55 EPPING ROAD,PIT-000000000905231782|2EPP-61,99
65 ESSEX STREET,PIT-000000000905210012|2EPP-61,122
"213 Epping Rd, Marsfield NSW 2122, Australia",PIT-000000015014048507|2EPP-61,43
"11-15 Essex St, Epping NSW 2121, Australia",PIT-000000013003659438|2EPP-61,113
"1 Lincoln St, Eastwood NSW 2122, Australia",PIT-000000000905265605|2EPP-61,79
3A NORFOLK ROAD,PIT-000000001600982044|2EPP-61,110
15 ORMONDE AVENUE,PIT-000000000905233023|2EPP-61,120
58 PEMBROKE STREET,PIT-000000000905210061|2EPP-61,105
23A PEMBROKE STREET,PIT-000000000905233473|2EPP-61,114
"31-33 Pembroke Rd, Marsfield NSW 2122, Australia",PIT-000000000905230763|2EPP-61,47
"17-19 Pembroke St, Epping NSW 2121, Australia",PIT-000000000905233413|2EPP-61,114
4 ROCKLEIGH WAY,PIT-000000001600203365|2EPP-61,112
8 ROCKLEIGH WAY,PIT-000000001600203366|2EPP-61,112
56 STANLEY ROAD,PIT-000000000905232222|2EPP-61,107
38 STANLEY ROAD,PIT-000000000905232235|2EPP-61,117
"30 Stanley Rd, Epping NSW 2121, Australia",PIT-000000013003652126|2EPP-61,117
"40-42 Stanley Rd, Epping NSW 2121, Australia",PIT-000000000905232219|2EPP-61,107
"38 Stanley Rd, Epping NSW 2121, Australia",PIT-000000000905232231|2EPP-61,117
"6 Taranto Rd, Marsfield NSW 2122, Australia",PIT-000000000905226231|2EPP-61,32
"5 Trafalgar Pl, Macquarie Park NSW 2113, Australia",PIT-000000013003665496|2EPP-61,23
174 WATERLOO ROAD,PIT-000000000905226979|2EPP-61,15
"207 Waterloo Rd, Marsfield NSW 2122, Australia",PIT-000000000905210224|2EPP-61,23